tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Centro educativo;Pública;096;Navalcarnero;CALLE;de Luis Zapata;3;;;28600;CEIP CARLOS RUIZ EN EL HALL DE ENTRADA;414116;4460179;HORARIO LECTIVO;2017-124
Centro educativo;Pública;148;Torrejón de Ardoz;CALLE;Cristal;2;;;28850;C.E.I.P. LA GAVIOTA ;460321;4478132;DE L A V NO FESTIVOS DE 9:00 A 16:00 HORAS;2017-138
Centro educativo;Privada;177;Villanueva del Pardillo;CALLE;Mallorca;2;;;28229;COLEGIO BILINGÜE VALLMONT ;418038;4482268;;2017-139
Centro de trabajo con más de 250 trabajadores;Privada;013;Aranjuez;PASEO;de Deleite;44;;;28300;FABRICA ERCROS. EL DESFIBRILADOR SE ENCUENTRA EN ELPUNTO DE REUNIÓN;446932;4430793;24 HORAS;2017-140
Centro educativo;Pública;132;San Martín de la Vega;AVDA;de Nuestra Señora de la Vega;6;;;28330;C.E.I.P. JORGE GUILLÉN EN LA SALA DE PROFESORES;450497;4451401;7:00 A 20:30;2017-141
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;CALLE;de Rivas;s/n;;;28052;RESTAURANTE FUENTEARCOS 8NEYFE) CARRETERA DE VICALVARO A MEJORADA KM 2;451246;4471507;;2017-162
Otros;Privada;079;Madrid;CALLE;de Cristóbal Bordiú;13;;;28003;HYBRIDO WORLDWIDE SL ;440536;4477194;8:00 A 21:00 HORAS;2017-171
Otros;Privada;079;Madrid;CALLE;de la Castellana;141;;;28032;INVERSIONES Y PATRIMONIO CASTELLANA SL PUESTO DE CONTROL 24 H RECEPCIÓN EN HALL PRINCIPAL;441451;4479008;24 H;2017-215
Centros residenciales de mayores con 200 plazas;Privada;079;Madrid;CALLE;de Puerto de Santa María;15;0;;28043;CASER RESIDENCIAL RECEPCIÓN. PLANTA CERO;444756;4478374;9-21;2017-217
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Salvador de Madariaga;1;7ª;1;28027;NIELSEN SERVICES SPAIN ;444215;4476437;;2017-1
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;CALLE;de Santa Teresa;s/n;;;28320;PABELLÓN DEPORTIVO PARQUE PINTO ENTRADA PRINCIPAL JUNTO A LA CONSERJERÍA;440882;4454496;09:00 A 22:00;2017-14
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;113;Pinto;TRVA;del Prado;s/n;;;28320;PISCINA MUNICIPAL ENTRADA PRINCIPAL JUNTO A BOTIQUÍN;441201;4455983;09:00 A 22:00;2017-17
Establecimiento dependiente de una Administración Pública;Pública;113;Pinto;CALLE;de las Alpujarras;s/n;;;28320;TEATRO FRANCISCO RABAL HALL PRINCIPAL JUNTO A ACCESO BUTACAS PARES;441007;4454866;SEGUN CARTELERA Y ACTOS;2017-19
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Entrepeñas;27;5;;28051;SECURITAS SEGURIDAD ESPAÑA ;448332;4468900;;2017-27
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de Entrepeñas;27;2;;28051;SECURITAS SEGURIDAD ESPAÑA ;448332;4468900;;2017-33
Centro de trabajo con más de 250 trabajadores;Privada;014;Arganda del Rey;CALLE;Latón;8;;;28500;TETRA PACK HISPANIA SA EN EL HALL DE ENTRADA A MANO IZQUIERDA;460224;4461408;;2017-43
Otros;Privada;127;Rozas de Madrid, Las;CTRA;N-VI KM 18,200 SAC MAKER SAU;;;;;;426251;4483281;07:30 A 20:30;2017-45
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;CALLE;de Monasterio de Las Huelgas;15;;;28049;FUNDACIÓN A LA PAR CLUB DE PÁDEL Y TENIS FUENCARRAL. OFICINA DE RECEPCIÓN;439824;4483801;;2017-49
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;de Victoria Eugenia de Battenberg;10;;;28660;CENTRO DE FORMACIÓN MUNICIPAL EN EL HALL DE ENTRADA;424947;4473594;DE LUNES A VIERNES DE 8:00 A 21:00;2017-59
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;de Francisco Alonso;2;;;28660;CENTRO DE EMPRESAS EN EL HALL DE ENTRADA;425123;4472591;DE L A V DE 8:00 A 21:00 SABADOS DE 9:00 A 13:00;2017-60
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;de los Mártires;1;;;28660;BIBLIOTECA CENTRAL MUNICIPAL EN EL HALL DE ENTRADA;425693;4473237;DE LU A V 9:00 A 21:00 Y SABADOS 10:00 A 13:45;2017-61
Establecimiento dependiente de una Administración Pública;Pública;022;Boadilla del Monte;CALLE;de Francisco Asenjo Barbieri;2;;;28660;CASA DE LA JUVENTUD E INFANCIA EN EL HALL DE ENTRADA;424666;4472804;DE L A V DE 8:00 A 21:00 Y SABADOS DE 10:00 A 14:00 Y DE 17:00 A 21:00;2017-62
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;PASEO;de la Castellana;95;16;;28046;EDIFICIO OFICINAS MULTINQUILINO ;441368;4478121;VIGILANTE DE SEGURIDAD DE TURNO EN RECEPCIÓN DEL EDIFICIO;2017-66
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;CALLE;de la Castellana;95;24;;28032;EDIFICIO DE OFICINAS MULTIINQUILINO ;441368;4478121;;2017-67
Centro educativo;Privada;079;Madrid;CALLE;de Amara;4;;;28027;COLEGIO CONCERTADO CORPUS CHRISTI PLANTA BAJA. JUNTO A RECEPCIÓN;444935;4477382;;2017-73
Centro educativo;Pública;005;Alcalá de Henares;CMNO;el Olivar;2;BAJA;;28806;CEIP FRANCISCO TOMÁS Y VALIENTE VESTÍBULO PLANTA BAJA;458850;4469534;DE 7:00 A 19:00 HORAS;2017-86
Otros;Pública;079;Madrid;AVDA;de Cantabria;52;;;28042;CENTRO DE INVESTIGACIÓN Y CONTROL DE LA CALIDAD. AGENCIA ESPAÑOLA DE CONSUMO, SEGURIDAD ALIMENTARIA Y NUTRICIÓN;450591;4478948;HORARIO LABORAL DE LA AGE;2017-102
Centro educativo;Privada;181;Villaviciosa de Odón;AVDA;Castilla;27;;;28670;EUROLENGUAS S.A. URB. EL CASTILLO;454696;4467369;8:00 A 20:00;2017-105
Aeropuertos;Pública;079;Madrid;CTRA;del Barrio de la Fortuna;s/n;;;;AENA SME SA ENTRADA DE EDIFICIO TERMINAL;433726;4468955;DE 6:00 A24:00;2017-107
Centro educativo;Privada;079;Madrid;CALLE;de Vital Aza;65;;;28017;GARCOS EDUCACIÓN S.L., COLEGIO JOYFE;445777;4476048;;2017-137
Otros;Privada;079;Madrid;CALLE;de San Martín;5;;;28013;FUNDACIÓN OBRA SOCIAL Y MONTE DE PIEDAD DE MADRID EDIFICIO DE ALHAJAS. HALL ENTRADA RECEPCIÓN;440031;4474387;;2017-145
Centro educativo;Privada;022;Boadilla del Monte;CALLE;de Miguel Ángel Cantero Oliva;13;;;28660;COLEGIO CASVI ;423769;4474966;;2017-166
Otros;Privada;079;Madrid;AVDA;de Manoteras;24;5;;28050;CALIDAD PASCUAL SAU QUINTA PLANTA. BOTIQUÍN;443487;4481977;9 A 18 H;2017-168
Otros;Privada;092;Móstoles;CALLE;Puerto de Cotos;8;;;28933;REFLEX ALQUUILER FLEXIBLE DE VEHÍCULOS SA ;425887;4466926;;2017-170
Establecimiento dependiente de una Administración Pública;Pública;049;Coslada;AVDA;de los Príncipes de España;8;;;28823;CENTRO DE MAYORES LA RAMBLA. AYUNTAMIENTO COSLADA EN LA CONSERJERÍA;453229;4475243;L A V DE 10 A 21 S Y D 10 A 14 Y 16:30 20:30;2017-230
Establecimiento dependiente de una Administración Pública;Pública;049;Coslada;CALLE;del Poniente;19;;;28823;CENTRO DE MAYORES LA CAÑADA. AYUNTAMIENTO COSLADA EN LA CAFETERÍA;454284;4475298;L A V 10 A 21 S Y D 10 A 14 Y 16:30 A 20:30;2017-231
Establecimiento dependiente de una Administración Pública;Pública;008;Aldea del Fresno;PLAZA;Constitución;7;;;28620;DISPOSITIVO MÓVIL. EN EL COCHE DE LA POLICIA LOCAL AYUNTAMIENTO DE ALDEA DEL FRESNO;397789;4464489;24H;2017-236
