Gis_X,Gis_Y,Distrito,Barrio,Número de Plazas,Longitud,Latitud,Direccion
"440874,02","4479384,51",6  TETUÁN,06-05 VALDEACEDERAS,18,-3.6973991,40.4630291,"AZUCENAS, CALLE, DE LAS, 1"
"441615,82","4479765,37",5  CHAMARTÍN,05-06 CASTILLA,24,-3.6886852,40.4665125,"CASTELLANA, PASEO, DE LA, S/N"
"441606,43","4479673,82",5  CHAMARTÍN,05-05 NUEVA ESPAÑA,24,-3.6887875,40.4656872,"CASTILLA, PLAZA, DE, 9"
"440392,24","4474584,46",1  CENTRO,01-06 SOL,27,-3.702631,40.4197538,"TRES CRUCES, CALLE, DE LAS, 9"
"440400,99","4474680,19",1  CENTRO,01-05 UNIVERSIDAD,24,-3.7025369,40.4206168,"DESENGAÑO, CALLE, DEL, 3"
"439193,57","4472197,09",11  CARABANCHEL,11-03 SAN ISIDRO,24,-3.7165313,40.3981605,"MARQUES DE VADILLO, GLORIETA, DEL, 9"
"440574,99","4471162,08",12  USERA,12-05 MOSCARDÓ,24,-3.7001575,40.3889363,"ANTONIO LOPEZ, CALLE, DE, 129"
"444286,32","4477179,51",15  CIUDAD LINEAL,15-05 SAN PASCUAL,24,-3.6569597,40.4434012,"CONDESA DE VENADITO, CALLE, DE LA, 2"
"445631,32","4475647,64",15  CIUDAD LINEAL,15-02 PUEBLO NUEVO,24,-3.6409697,40.4296903,"GUTIERRE DE CETINA, CALLE, DE, 77"
"438158,91","4473969,7",10  LATINA,10-02 PUERTA DEL ÁNGEL,24,-3.7288948,40.4140528,"PUERTA DEL ANGEL, PLAZA, DE LA, 3"
"441592,41","4481374,08",8  FUENCARRAL-EL PARDO,08-05 LA PAZ,24,-3.6891094,40.4810028,"PEDRO RICO, CALLE, DE, frente al 4"
"444221,86","4473533,53",14  MORATALAZ,14-04 MEDIA LEGUA,24,-3.6573999,40.4105519,"CAMINO DE LOS VINATEROS, CALLE, DEL, 28"
"445121,32","4473287,59",14  MORATALAZ,14-03 MARROQUINA,24,-3.6467783,40.4083961,"CAMINO DE LOS VINATEROS, CALLE, DEL, 108"
"444725,09","4473041,7",14  MORATALAZ,14-04 MEDIA LEGUA,24,-3.6514264,40.4061548,"ARROYO DE LAS PILILLAS, CALLE, DEL, frente al 4"
"446141,03","4472399,01",14  MORATALAZ,14-01 PAVONES,24,-3.6346859,40.4004579,"HACIENDA DE PAVONES, CALLE, DE LA, 346"
"440362,66","4471479,61",12  USERA,12-05 MOSCARDÓ,24,-3.7026887,40.3917816,"EUGENIO CAXES, CALLE, DE, 5"
"438522,93","4473120,98",10  LATINA,10-01 CÁRMENES,24,-3.7245226,40.4064341,"ERMITA DEL SANTO, PASEO, DE LA, 48"
438160,"4473395,7",10  LATINA,10-02 PUERTA DEL ÁNGEL,24,-3.7288262,40.408882,"CARAMUEL, CALLE, DE, frente al 52"
"443978,28","4472656,95",13  PUENTE DE VALLECAS,13-06 NUMANCIA,24,-3.6601933,40.4026388,"SIERRA TOLEDANA, CALLE, DE LA, 33"
"443934,22","4472275,39",13  PUENTE DE VALLECAS,13-06 NUMANCIA,24,-3.6606789,40.3991986,"VALDERRIBAS, CAMINO, DE, 94"
"443466,29","4471705,78",13  PUENTE DE VALLECAS,13-02 SAN DIEGO,24,-3.6661421,40.3940355,"ARROYO DEL OLIVAR, CALLE, DEL, 4"
"439910,49","4471772,12",11  CARABANCHEL,11-01 COMILLA,24,-3.7080437,40.3943842,"SAN DELFIN, CALLE, DE, 9"
"444985,82","4476472,45",15  CIUDAD LINEAL,15-04 CONCEPCIÓN,24,-3.6486507,40.4370782,"JOSE DEL HIERRO, CALLE, DE, 5"
"444952,82","4477207,59",15  CIUDAD LINEAL,15-05 SAN PASCUAL,24,-3.6491034,40.4436986,"CARLOTA O'NEILL, CALLE, DE, 32"
"444380,2","4476773,28",15  CIUDAD LINEAL,15-05 SAN PASCUAL,24,-3.6558172,40.439748,"DERECHOS HUMANOS, CALLE, DE LOS, 14"
"444989,2","4476001,54",15  CIUDAD LINEAL,15-01 VENTAS,24,-3.6485701,40.4328362,"JOSE MARIA PEREDA, CALLE, DE, 1"
"444381,95","4474904,65",15  CIUDAD LINEAL,15-01 VENTAS,24,-3.655633,40.4229144,"MARQUES DE CORBERA, AVENIDA, DEL, 12"
"444767,03","4475262,41",15  CIUDAD LINEAL,15-01 VENTAS,24,-3.651125,40.426163,"MARQUES DE CORBERA, AVENIDA, DEL, 52"
