identificador,matricula,distrito,barrio,calle,num_finca,location
http://www.group10.org/pl/resource/ParkingMeter/PM301210023,301210023,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S115,9,http://www.group10.org/pl/resource/Location/L28881
http://www.group10.org/pl/resource/ParkingMeter/PM301210044,301210044,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S116,10,http://www.group10.org/pl/resource/Location/L28882
http://www.group10.org/pl/resource/ParkingMeter/PM301210020,301210020,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S120,32,http://www.group10.org/pl/resource/Location/L28883
http://www.group10.org/pl/resource/ParkingMeter/PM301210008,301210008,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S123,8,http://www.group10.org/pl/resource/Location/L28884
http://www.group10.org/pl/resource/ParkingMeter/PM301210009,301210009,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S123,25,http://www.group10.org/pl/resource/Location/L28885
http://www.group10.org/pl/resource/ParkingMeter/PM301210062,301210062,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S124,13,http://www.group10.org/pl/resource/Location/L28886
http://www.group10.org/pl/resource/ParkingMeter/PM301210029,301210029,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S125,1,http://www.group10.org/pl/resource/Location/L28887
http://www.group10.org/pl/resource/ParkingMeter/PM301210072,301210072,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S127,85,http://www.group10.org/pl/resource/Location/L28888
http://www.group10.org/pl/resource/ParkingMeter/PM301210071,301210071,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S128,19,http://www.group10.org/pl/resource/Location/L28889
http://www.group10.org/pl/resource/ParkingMeter/PM301210045,301210045,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S129,9,http://www.group10.org/pl/resource/Location/L28890
http://www.group10.org/pl/resource/ParkingMeter/PM301210049,301210049,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S130,15,http://www.group10.org/pl/resource/Location/L28891
http://www.group10.org/pl/resource/ParkingMeter/PM301210014,301210014,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S131,12,http://www.group10.org/pl/resource/Location/L28892
http://www.group10.org/pl/resource/ParkingMeter/PM301210016,301210016,http://www.group10.org/pl/resource/District/D01,http://www.group10.org/pl/resource/Neighborhood/N01-02,http://www.group10.org/pl/resource/Street/S132,30,http://www.group10.org/pl/resource/Location/L28893
