identificador,gis_x,gis_y
http://www.group10.org/pl/resource/Location/L362,440618.2,4473307.14
http://www.group10.org/pl/resource/Location/L363,440603.45,4473314.13
http://www.group10.org/pl/resource/Location/L364,440647.6,4473301.27
http://www.group10.org/pl/resource/Location/L365,440666.55,4473297.19
http://www.group10.org/pl/resource/Location/L366,440663.52,4473301.36
http://www.group10.org/pl/resource/Location/L367,440696.65,4473290.96
http://www.group10.org/pl/resource/Location/L368,440726.37,4473284.32
http://www.group10.org/pl/resource/Location/L369,440735.05,4473286.09
http://www.group10.org/pl/resource/Location/L370,440803.22,4473267.87
http://www.group10.org/pl/resource/Location/L371,440842.74,4473259.73
http://www.group10.org/pl/resource/Location/L372,440823.59,4473267.45
http://www.group10.org/pl/resource/Location/L373,440821.31,4473264.14
http://www.group10.org/pl/resource/Location/L374,440946.28,4473201.03
http://www.group10.org/pl/resource/Location/L375,440973.07,4473183.58
http://www.group10.org/pl/resource/Location/L376,440857.14,4473260.48
http://www.group10.org/pl/resource/Location/L377,440855.32,4473257.03
http://www.group10.org/pl/resource/Location/L378,440393.69,4473923.27
http://www.group10.org/pl/resource/Location/L379,440444.1,4473899.81
http://www.group10.org/pl/resource/Location/L380,440532.11,4473853.63
http://www.group10.org/pl/resource/Location/L381,440990.84,4473550.35
http://www.group10.org/pl/resource/Location/L382,441044.49,4473519.37
http://www.group10.org/pl/resource/Location/L383,441069.28,4473505.44
http://www.group10.org/pl/resource/Location/L384,441103.02,4473485.76
http://www.group10.org/pl/resource/Location/L385,441033.24,4473526.25
http://www.group10.org/pl/resource/Location/L386,441167.27,4473450.72
http://www.group10.org/pl/resource/Location/L387,441155.84,4473456.9
http://www.group10.org/pl/resource/Location/L388,441080.82,4473498.61
http://www.group10.org/pl/resource/Location/L389,441093.19,4473491.49
http://www.group10.org/pl/resource/Location/L390,440913.12,4473145.3
http://www.group10.org/pl/resource/Location/L391,440897.19,4473140.12
http://www.group10.org/pl/resource/Location/L392,440882.17,4473134.86
http://www.group10.org/pl/resource/Location/L393,440839.11,4473119.81
http://www.group10.org/pl/resource/Location/L394,440801.58,4473106.76
http://www.group10.org/pl/resource/Location/L395,440749.06,4473088.23
http://www.group10.org/pl/resource/Location/L396,440689.16,4473067.24
http://www.group10.org/pl/resource/Location/L397,440681.91,4473064.85
http://www.group10.org/pl/resource/Location/L398,440583.79,4473688.4
http://www.group10.org/pl/resource/Location/L399,440587.12,4473687.36
http://www.group10.org/pl/resource/Location/L400,440581.41,4473651.28
http://www.group10.org/pl/resource/Location/L401,440578.89,4473661.33
http://www.group10.org/pl/resource/Location/L402,440576.79,4473641.66
http://www.group10.org/pl/resource/Location/L403,440571.83,4473625.17
http://www.group10.org/pl/resource/Location/L404,440565.89,4473614.24
http://www.group10.org/pl/resource/Location/L405,440563.42,4473616.52
http://www.group10.org/pl/resource/Location/L406,440544.28,4473582.94
http://www.group10.org/pl/resource/Location/L407,440539.09,4473566.97
http://www.group10.org/pl/resource/Location/L408,440536.26,4473569.8
http://www.group10.org/pl/resource/Location/L409,440523.98,4473460.67
http://www.group10.org/pl/resource/Location/L410,440521.53,4473502.6
http://www.group10.org/pl/resource/Location/L411,440523.75,4473447.62
http://www.group10.org/pl/resource/Location/L412,440524.74,4473483.91
