Órg. Gest.,Órgano Gestor,Imp. Conce,Fec. Conc.,Finalidad2,tipo_procedimiento,nominativa
219,DISTRITO DE VICÁLVARO,3240,21/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
218,DISTRITO DE VILLA DE VALLECAS,1500,28/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
219,DISTRITO DE VICÁLVARO,600,21/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
211,DISTRITO DE CARABANCHEL,360,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
218,DISTRITO DE VILLA DE VALLECAS,1620,31/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
219,DISTRITO DE VICÁLVARO,3240,21/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
219,DISTRITO DE VICÁLVARO,2160,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
219,DISTRITO DE VICÁLVARO,900,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
219,DISTRITO DE VICÁLVARO,1620,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
219,DISTRITO DE VICÁLVARO,1620,25/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
220,DISTRITO DE SAN BLAS-CANILLEJAS,1500,27/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
210,DISTRITO DE LATINA,2268,21/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,1620,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
209,DISTRITO DE MONCLOA-ARAVACA,458,10/02/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
219,DISTRITO DE VICÁLVARO,3240,21/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
206,DISTRITO DE TETUÁN,600,20/01/2022 0:00,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL,AYUDA SOCIAL,NO
